Problem,GWO Mean,WOA Mean,GWO Median,WOA Median,GWO Std,WOA Std,GWO Success (%),WOA Success (%),GWO Time (s),WOA Time (s),Winner
Sphere,0.00855656733205977,3.521723587864185,0.006816247906790255,4.242512425275091,0.004481609517119583,1.6851645418067385,60.0,0.0,0.047975839999998014,0.031147479999998496,GWO
Rosenbrock,349.44144518332956,3351.1636714409847,188.1352859481007,1330.4026519418796,304.7645380682977,3818.206909347259,0.0,0.0,0.07457486000000131,0.0511241400000074,GWO
Rastrigin,32.609643484245595,79.2609162955388,36.73928284531883,83.38802823326762,7.602792057537849,16.825435266455937,0.0,0.0,0.06433945999999083,0.044613779999997404,GWO
Schwefel,542.7736724061939,1162.9206232512893,705.1934145517644,1179.020887066491,327.34909195522715,65.4598647021114,0.0,0.0,0.05993230000000267,0.04018705999999952,GWO
Ackley,2.183372004117175,17.209924447866378,2.09602519521458,18.31233034214861,1.1124143068924621,3.205918894335316,0.0,0.0,0.11446411999999669,0.07121460000000183,GWO
Griewank,0.9997665708726439,13.19569481205863,0.9512394087475711,14.806574422485161,0.22056418440807388,5.819977819918741,0.0,0.0,0.07658765999999559,0.057075899999995273,GWO
Michalewicz,-5.368391221035155,-3.7657812345074198,-5.135674920478879,-3.610065714659518,0.3367417553469362,0.47397165891711796,0.0,0.0,0.077128799999997,0.06012428000000227,GWO
Zakharov,8.253670768093684,166.23953919157896,4.685133059562489,158.22151792828956,7.582903280428969,49.121340767405776,0.0,0.0,0.08305437999999868,0.057524519999998344,GWO
Dixon_price,146.817599612345,3622.0140867954638,79.401385704455,960.5542053056938,158.46240101284624,3892.5403685747115,0.0,0.0,0.09148102000000904,0.06647389999999405,GWO
Levy,0.39241780354223427,19.32127498220408,0.17866792070177417,20.66046330204509,0.407259241619326,9.798113295092667,0.0,0.0,0.1153813600000035,0.0962379999999996,GWO
