Problem,Config,Mean,Median,Std Dev,Success Rate (%)
Sphere,linear,0.00855656733205977,0.006816247906790255,0.004481609517119583,60.0
Sphere,exp,0.15721224034052056,0.004947837196785806,0.30405743062859314,80.0
Sphere,log,0.19507310598164201,0.06974506061497034,0.19460489860325408,0.0
Sphere,sin,0.028712390497918478,0.022023715046488625,0.01486036164424309,0.0
Rosenbrock,linear,349.44144518332956,188.1352859481007,304.7645380682977,0.0
Rosenbrock,exp,253.22064793789735,130.03977272743035,287.5234255640376,0.0
Rosenbrock,log,137.97583696859664,107.73386055869494,74.37779163231232,0.0
Rosenbrock,sin,121.42481549770294,128.03943824330173,68.94481985158606,0.0
Rastrigin,linear,32.609643484245595,36.73928284531883,7.602792057537849,0.0
Rastrigin,exp,19.804976503448657,17.41132990544321,5.273255952238144,0.0
Rastrigin,log,43.65729155143559,45.47363428151924,7.705500177415514,0.0
Rastrigin,sin,26.363751270564507,25.48642507719434,12.392999589417974,0.0
Schwefel,linear,542.7736724061939,705.1934145517644,327.34909195522715,0.0
Schwefel,exp,971.4193156441412,820.6325396826101,516.5005454000013,0.0
Schwefel,log,380.7423413180263,346.31945838149795,508.0238482371787,0.0
Schwefel,sin,547.3609751276692,582.8603352540213,328.97613319082114,0.0
Ackley,linear,2.183372004117175,2.09602519521458,1.1124143068924621,0.0
Ackley,exp,1.660389492132845,1.707689821760614,0.3190676639204057,0.0
Ackley,log,4.0816773129068356,4.041576369322279,0.5377474023071098,0.0
Ackley,sin,2.7837355664376924,2.718218537873199,0.3710958823471626,0.0
Griewank,linear,0.9997665708726439,0.9512394087475711,0.22056418440807388,0.0
Griewank,exp,1.4287773596684925,0.8904917272174597,1.102579508196407,0.0
Griewank,log,1.7671110654374735,1.3319239491372237,0.7014341818889704,0.0
Griewank,sin,1.072573553056041,1.0403272960146652,0.07869655259648593,0.0
Michalewicz,linear,-5.368391221035155,-5.135674920478879,0.3367417553469362,0.0
Michalewicz,exp,-5.196318300007293,-5.325713269928353,0.7303678731420915,0.0
Michalewicz,log,-4.817845698074704,-5.160652184378115,0.955211376148315,0.0
Michalewicz,sin,-4.993728021582919,-4.99819793440325,0.6314894078539774,0.0
Zakharov,linear,8.253670768093684,4.685133059562489,7.582903280428969,0.0
Zakharov,exp,21.415998838528076,7.401146813229128,32.811490606171255,0.0
Zakharov,log,10.620883060962962,10.176510967105646,7.440555374735324,0.0
Zakharov,sin,6.62165926785824,7.4891376551033995,2.324007971082414,0.0
Dixon_price,linear,146.817599612345,79.401385704455,158.46240101284624,0.0
Dixon_price,exp,109.03706061120674,64.26581467468313,97.72226004525821,0.0
Dixon_price,log,148.64044150080838,74.55918008871883,191.95928387295146,0.0
Dixon_price,sin,171.48826089006712,90.41368372791233,201.60529835031218,0.0
Levy,linear,0.39241780354223427,0.17866792070177417,0.407259241619326,0.0
Levy,exp,0.48567537639702285,0.12446294696324108,0.49495449642169886,0.0
Levy,log,0.6205501089941506,0.6330011250597395,0.40405028643243107,0.0
Levy,sin,0.39939598437106333,0.34140349264836084,0.314094709565318,0.0
