Problem,Config,Mean,Median,Std Dev,Success Rate (%)
Sphere,N_10,15.703269001046303,13.243034345825112,8.191951288858924,0.0
Sphere,N_20,7.1953529828178455,5.096511972937728,5.642268947620391,0.0
Sphere,N_40,4.104123618985328,2.4117557463666595,3.8498212743329967,0.0
Sphere,N_80,1.897401005460073,1.2198891341554514,1.6147116014258436,0.0
Sphere,N_100,1.7953674824835892,1.4705919324774483,1.453098339504689,0.0
Sphere,N_160,1.4737597779116607,1.1351025266628318,0.99190343551064,0.0
Sphere,N_200,1.2538099233334394,1.1614614201356617,0.723602365439447,0.0
Rosenbrock,N_10,10408.437568924614,6682.118981246693,13655.584724665538,0.0
Rosenbrock,N_20,3198.425041566025,1918.7420120466727,3681.421764576889,0.0
Rosenbrock,N_40,1894.0839024832103,1270.1538603967156,1765.8569542693358,0.0
Rosenbrock,N_80,1164.9811825431707,1032.139585714804,879.4706529468152,0.0
Rosenbrock,N_100,612.0584139430755,454.37972615358353,471.94326546504897,0.0
Rosenbrock,N_160,715.4925741277596,522.218465772969,527.0831979898304,0.0
Rosenbrock,N_200,452.83905270735625,297.9934712512405,467.82838908514674,0.0
Rastrigin,N_10,162.51076889322346,143.09197557791688,52.93320713375299,0.0
Rastrigin,N_20,115.65131336487143,112.90459701594588,30.6530229486424,0.0
Rastrigin,N_40,117.95555978476256,87.92639322239759,58.09288273604055,0.0
Rastrigin,N_80,99.41145288509311,80.51769365283512,46.11459074446926,0.0
Rastrigin,N_100,105.70222851462167,81.56395365769758,50.999414167898564,0.0
Rastrigin,N_160,104.33760700929209,86.13742739010908,58.33494967691269,0.0
Rastrigin,N_200,76.70652966268815,66.8317067003647,37.412435590801955,0.0
Schwefel,N_10,4113.372850866272,4172.572839019896,730.1392394960494,0.0
Schwefel,N_20,3919.527238875604,3732.356978703856,1096.0270581833713,0.0
Schwefel,N_40,3478.288755681746,3503.9067913922254,1125.6367356659991,0.0
Schwefel,N_80,3284.0389133239855,3288.483602887979,861.9298076291473,0.0
Schwefel,N_100,2562.3738465234856,2640.8934667297035,917.472890742769,0.0
Schwefel,N_160,2965.7511923893335,2755.2416394620323,1186.5033513255685,0.0
Schwefel,N_200,2540.736537411484,2559.388025821914,862.2211428254776,0.0
Ackley,N_10,14.209321494361493,14.675987063517576,2.52719604614917,0.0
Ackley,N_20,10.776450464131033,11.166666988344959,2.531646014436826,0.0
Ackley,N_40,7.825882186111483,7.7624573543499595,1.8363442923174935,0.0
Ackley,N_80,6.252620157620402,6.025931658924611,1.8546645400671649,0.0
Ackley,N_100,5.82773552043546,5.724872328168125,1.6515958336512588,0.0
Ackley,N_160,5.303823407889955,5.277375957971797,1.2555763212273139,0.0
Ackley,N_200,5.66530500292421,5.384173476909007,1.289443302295823,0.0
Griewank,N_10,54.912895576541565,46.46635021659786,28.124832695848806,0.0
Griewank,N_20,25.70953053505308,18.497485258627,19.367103744695456,0.0
Griewank,N_40,15.091843752548796,9.28010624585378,13.219335242780117,0.0
Griewank,N_80,7.514210757524088,5.1881569557343905,5.543671488093336,0.0
Griewank,N_100,7.163288726051603,6.0488767213753825,4.988328621429062,0.0
Griewank,N_160,6.059877362532768,4.897065253981154,3.405617838382635,0.0
Griewank,N_200,5.304637182852506,4.9878970069013935,2.484285616745913,0.0
Michalewicz,N_10,-9.088744670671444,-8.343774931920017,2.5412022137523538,0.0
Michalewicz,N_20,-10.662732072155242,-11.417100020145261,2.9581975838144254,3.3333333333333335
Michalewicz,N_40,-10.771406120547732,-10.47939072664583,2.6568275276973674,6.666666666666667
Michalewicz,N_80,-12.084005380955375,-12.911047669640396,2.824888082796432,3.3333333333333335
Michalewicz,N_100,-11.825389002379763,-12.381642139833396,3.1402706457362375,0.0
Michalewicz,N_160,-11.810313719715023,-11.537237183053705,2.759595709639894,6.666666666666667
Michalewicz,N_200,-13.305920831824341,-14.48851406559253,2.718818505624608,0.0
Zakharov,N_10,213.2783949845204,205.03938556574857,48.99559509722885,0.0
Zakharov,N_20,153.45015264061396,149.59156103571348,51.17003081138657,0.0
Zakharov,N_40,122.138745281542,124.60400167331974,36.8038085488686,0.0
Zakharov,N_80,89.49901358186385,86.43182725910304,41.15809760549364,0.0
Zakharov,N_100,79.63808060863067,76.82665291160824,32.366791785734115,0.0
Zakharov,N_160,49.298728794109486,44.16492405484554,20.89003830790292,0.0
Zakharov,N_200,51.20846517162843,44.04460259520252,25.328874255733954,0.0
Dixon_price,N_10,18142.335905934677,16781.562365007638,11405.875505468957,0.0
Dixon_price,N_20,4058.525448833716,2784.0922194903414,3929.9642404961064,0.0
Dixon_price,N_40,1053.4308838502,475.18653187039877,1364.293236344102,0.0
Dixon_price,N_80,1015.1011510588646,373.76805019586584,1546.7727549263789,0.0
Dixon_price,N_100,362.6935464982745,217.1340630797282,363.32299989821894,0.0
Dixon_price,N_160,434.35531011974217,261.80227622798674,420.82144242021883,0.0
Dixon_price,N_200,316.78797527066,184.43924403519225,280.18289606053463,0.0
Levy,N_10,22.776660777768882,21.187106354184245,10.375959934333409,0.0
Levy,N_20,17.57967069138611,18.794188900052898,7.450931046082169,0.0
Levy,N_40,7.862747626965622,7.054225072522819,4.264265033934302,0.0
Levy,N_80,5.606672352280785,5.2102885144205935,3.0454147908756117,0.0
Levy,N_100,5.3556918150729125,4.523563183365159,2.9172091681252232,0.0
Levy,N_160,5.0541030141229975,3.6427908189299725,3.817697178198532,0.0
Levy,N_200,4.057567061714456,2.861792476801172,3.7203262816406757,0.0
