Problem,Config,Mean,Median,Std Dev,Success Rate (%)
Sphere,linear,3.7706548297378077,3.7992267271706694,2.266790140264116,0.0
Sphere,exp,6.142368714920846,4.864774242236062,2.761136484657476,0.0
Sphere,log,3.521723587864185,4.242512425275091,1.6851645418067385,0.0
Sphere,sin,2.9926792168382548,2.07377600923926,1.9099673694676909,0.0
Rosenbrock,linear,2461.729589973771,2117.333528870017,974.632511686962,0.0
Rosenbrock,exp,2767.5026574166836,1246.4596917824351,2838.475334802242,0.0
Rosenbrock,log,3351.1636714409847,1330.4026519418796,3818.206909347259,0.0
Rosenbrock,sin,3380.202711438036,2027.3191134955825,4074.333241278928,0.0
Rastrigin,linear,76.33167899287218,70.32603002787607,12.204052690163879,0.0
Rastrigin,exp,72.99451587997352,63.815017569083146,17.977218455920063,0.0
Rastrigin,log,79.2609162955388,83.38802823326762,16.825435266455937,0.0
Rastrigin,sin,68.96943094999618,63.28405092072762,18.611619000489274,0.0
Schwefel,linear,1139.7222101575785,1179.0208880728806,152.80084798552042,0.0
Schwefel,exp,1117.9439556071527,1179.0208841344684,170.32325532056734,0.0
Schwefel,log,1162.9206232512893,1179.020887066491,65.4598647021114,0.0
Schwefel,sin,1144.3678517657331,1179.0208842679922,118.3091295627755,0.0
Ackley,linear,17.90272087484865,18.005538865463578,1.2360165468117716,0.0
Ackley,exp,18.599371645345318,18.327421814296976,0.7116258374148214,0.0
Ackley,log,17.209924447866378,18.31233034214861,3.205918894335316,0.0
Ackley,sin,17.619300609610313,18.563680328425736,2.0949523149965286,0.0
Griewank,linear,14.502121355431862,15.416246959387783,7.782291117101446,0.0
Griewank,exp,22.294166248394838,18.638962497480996,9.616635634534758,0.0
Griewank,log,13.19569481205863,14.806574422485161,5.819977819918741,0.0
Griewank,sin,12.236045829582093,10.432619898817885,6.335272666126791,0.0
Michalewicz,linear,-3.8569187367307167,-3.737180294831032,0.3816519034574897,0.0
Michalewicz,exp,-3.9720411042532824,-3.9764037570578203,0.45031294691673646,0.0
Michalewicz,log,-3.7657812345074198,-3.610065714659518,0.47397165891711796,0.0
Michalewicz,sin,-4.0934371647857,-4.255120845726943,0.4428634767022465,0.0
Zakharov,linear,175.3903844733678,169.49599353672448,14.017952035919501,0.0
Zakharov,exp,169.13280824149916,173.09590708389834,49.56325814511752,0.0
Zakharov,log,166.23953919157896,158.22151792828956,49.121340767405776,0.0
Zakharov,sin,163.89981337130297,165.75814575343574,16.54522360521497,0.0
Dixon_price,linear,5654.095914428978,1943.3507846555817,6204.730332846582,0.0
Dixon_price,exp,6416.831381843966,5303.00395229505,4473.670577666181,0.0
Dixon_price,log,3622.0140867954638,960.5542053056938,3892.5403685747115,0.0
Dixon_price,sin,3726.9756609246883,3051.9100566124976,2583.7606151942964,0.0
Levy,linear,16.836223995165234,14.347752847359363,9.78068065535832,0.0
Levy,exp,20.969450100907476,13.207950061945592,12.258852644313516,0.0
Levy,log,19.32127498220408,20.66046330204509,9.798113295092667,0.0
Levy,sin,23.757427770639424,23.995514070648227,13.934741074499664,0.0
